num,unique_num,channel,table_name,dt
4480802,2726415,3,gdl_jrs_msg_parse,2019-04-20
23831781,18397548,1,gdl_jrs_msg_parse,2019-04-20
1514247665,698888537,0,gdl_jrs_msg_parse,2019-04-21
6276112,4690361,2,gdl_jrs_msg_parse,2019-04-21
4085428,2432528,3,gdl_jrs_msg_parse,2019-04-21
22800887,17633014,1,gdl_jrs_msg_parse,2019-04-21
1823559150,819389443,0,gdl_jrs_msg_parse,2019-04-22
5960375,4392091,2,gdl_jrs_msg_parse,2019-04-22
22146916,17097154,1,gdl_jrs_msg_parse,2019-04-22
4471823,2659669,3,gdl_jrs_msg_parse,2019-04-22
21410334,16497703,1,gdl_jrs_msg_parse,2019-04-23
4537219,2724007,3,gdl_jrs_msg_parse,2019-04-23
5849379,4363882,2,gdl_jrs_msg_parse,2019-04-23
1785696775,787934117,0,gdl_jrs_msg_parse,2019-04-23
1855582728,817609523,0,gdl_jrs_msg_parse,2019-04-24
5991862,4426640,2,gdl_jrs_msg_parse,2019-04-24
4370033,2594933,3,gdl_jrs_msg_parse,2019-04-24
25970478,20700036,1,gdl_jrs_msg_parse,2019-04-24
6275233,4668243,2,gdl_jrs_msg_parse,2019-04-25
4374234,2631263,3,gdl_jrs_msg_parse,2019-04-25
21896716,16900214,1,gdl_jrs_msg_parse,2019-04-25
1945469489,830325548,0,gdl_jrs_msg_parse,2019-04-25
6547132,4886767,2,gdl_jrs_msg_parse,2019-04-26
1954526405,822601888,0,gdl_jrs_msg_parse,2019-04-26
22199505,17131822,1,gdl_jrs_msg_parse,2019-04-26
4187501,2494860,3,gdl_jrs_msg_parse,2019-04-26
22186508,17286967,1,gdl_jrs_msg_parse,2019-04-27
4101546,2433313,3,gdl_jrs_msg_parse,2019-04-27
1506834933,696841552,0,gdl_jrs_msg_parse,2019-04-27
6219973,4651317,2,gdl_jrs_msg_parse,2019-04-27
4311151,2509804,3,gdl_jrs_msg_parse,2019-04-28
1692565003,746800481,0,gdl_jrs_msg_parse,2019-04-28
6267193,4571365,2,gdl_jrs_msg_parse,2019-04-28
21678042,16723624,1,gdl_jrs_msg_parse,2019-04-28
6273853,4663982,2,gdl_jrs_msg_parse,2019-04-29
1860762307,832062468,0,gdl_jrs_msg_parse,2019-04-29
4206580,2459518,3,gdl_jrs_msg_parse,2019-04-29
21857230,16796329,1,gdl_jrs_msg_parse,2019-04-29
2035591469,879164620,0,gdl_jrs_msg_parse,2019-04-30
7859500,5765200,2,gdl_jrs_msg_parse,2019-04-30
23692178,18450984,1,gdl_jrs_msg_parse,2019-04-30
4119928,2385994,3,gdl_jrs_msg_parse,2019-04-30
8307968,6090700,2,gdl_jrs_msg_parse,2019-05-01
4030156,2395997,3,gdl_jrs_msg_parse,2019-05-01
27829217,21745961,1,gdl_jrs_msg_parse,2019-05-01
2023434841,832370827,0,gdl_jrs_msg_parse,2019-05-01
6995958,5242967,2,gdl_jrs_msg_parse,2019-05-02
25833738,20373890,1,gdl_jrs_msg_parse,2019-05-02
3894247,2275156,3,gdl_jrs_msg_parse,2019-05-02
1796602782,780024802,0,gdl_jrs_msg_parse,2019-05-02
3968422,2310876,3,gdl_jrs_msg_parse,2019-05-03
1608302067,718575356,0,gdl_jrs_msg_parse,2019-05-03
24208877,19108101,1,gdl_jrs_msg_parse,2019-05-03
6509572,4894983,2,gdl_jrs_msg_parse,2019-05-03
4160687,2440361,3,gdl_jrs_msg_parse,2019-05-04
6245408,4666048,2,gdl_jrs_msg_parse,2019-05-04
23244000,18342149,1,gdl_jrs_msg_parse,2019-05-04
1468580303,676750706,0,gdl_jrs_msg_parse,2019-05-04
22661983,17771010,1,gdl_jrs_msg_parse,2019-05-05
6067286,4465796,2,gdl_jrs_msg_parse,2019-05-05
1678792952,746391453,0,gdl_jrs_msg_parse,2019-05-05
4448659,2619663,3,gdl_jrs_msg_parse,2019-05-05
1830845604,816467710,0,gdl_jrs_msg_parse,2019-05-06
