link,org_type,dt,overdue_amount,loan_amount,should_repay_amount,amount,balance,review_y,review_n,cnt,unique_num
01,08,20190601,,,,,0.0,0,0,158,148
01,15,20200301,,,,,0.0,0,0,48691,29736
02,09,20191201,,,,,0.0,0,0,2062628,1619574
02,18,20200301,,,,,0.0,0,0,291973,240710
02,24,20200101,,,,,0.0,0,0,80070,51832
03,2,20191101,,,,0.0,0.0,156374,2369,158743,149159
04,18,20200201,,301987198.0,,,0.0,0,0,157332,78205
04,25,20190601,,9024006.53,,,41486.170000000006,0,0,3745,2757
04,25,20200401,,942052269.2700002,,,2608436.7800000017,0,0,33523,16760
05,17,20200801,,,,,339.99,0,0,32744787,12577774
05,2,20200501,,,,,317496115563.2002,0,0,5012364,3488319
05,21,20200301,,,,,2120082281.594699,0,0,42507322,24347164
05,26,20200201,,,,,311997333.25000006,0,0,1105419,732952
06,02,20200901,29817924935.65895,,,,71425621.78999995,0,0,16643088,4442712
06,24,20200901,36303818885.99911,,,,84170333387.3464,0,0,435125,178136
06,99,20200701,3070632466.689999,,,,0.0,0,0,1002428,329224
07,02,20200401,,1450469.0499999998,123814337120.00702,0.0,195641962.35999998,0,0,133626266,28733276
07,17,20191101,,7844317.0,134024787103.5767,0.0,66100792959.204544,0,0,138323685,50889017
07,24,20200801,,8919300.0,53914248014.03994,37605246072.25995,4248874942.601464,0,0,8352397,3933221
,01,20200901,,,,,0.0,0,0,6527665,5728190
,05,20190701,,,,,0.0,0,0,1352377,1169923
,09,20191201,,,,,0.0,0,0,32209277,22863356
,26,20191001,,,,,0.0,0,0,6606566,1098229
01,,20200901,,,,,0.0,0,0,7383696,5305411
05,,20190701,,,,,3238969195912.1733,0,0,28429039,16132878
,20,20200901,,,,,0.0,0,0,105,92
06,11,20200101,0.0,,,,0.0,0,0,1,1
02,21,20190501,,,,,0.0,0,0,905779,859858
02,2,20200401,,,,,0.0,0,0,132811,86347
03,02,20200401,,,,,0.0,2977881,77932,3055813,2444954
03,04,20200201,,,,,0.0,241815,219759,461574,432533
03,05,20200601,,,,,0.0,240519,1252484,1493003,492648
04,04,20200701,,91350137.64,,,0.0,0,0,548523,503361
04,08,20200301,,723723000.0,,,0.0,0,0,31255,16380
04,08,20200501,,3462579451.2699995,,,0.0,0,0,197581,107064
04,17,20191101,,6088117791.820002,,,26163.59999999999,0,0,5010397,2729696
04,2,20190701,,10854393493.03,,,33191577.560000017,0,0,80220,42463
05,09,20190601,,,,,1283771.67,0,0,2030708,958838
06,01,20190701,2299686.6700000004,,,,187.07,0,0,11492,8923
07,15,20200701,,,468521963.8300002,,0.0,0,0,182587,74407
07,19,20200101,,12474131.0,254217071381.10983,1010752311687.6874,256736577772.48083,0,0,280520539,183181815
07,99,20200801,,49383800.0,8880139298.91,3842.55,4953277.4,0,0,9084165,3884346
,16,20201001,,,,,0.0,0,0,182613,100493
,18,20200301,,,,,0.0,0,0,21266430,8211923
04,20,20200701,,45830000.0,,,69030257.24999999,0,0,70,35
03,3,20200301,,,,,0.0,1,0,1,1
04,21,20190801,,13829840527.285048,,,76187583936.50006,0,0,364806,281173
02,04,20190501,,,,,0.0,0,0,395025,223249
06,18,20190901,1125595374.1099992,,,,0.0,0,0,1099478,301979
01,04,20190501,,,,,0.0,0,0,72508,70354
03,05,20200101,,,,,0.0,221325,319508,540833,262067
03,07,20201001,,,,,0.0,7417,3739,11156,9153
04,18,20200301,,534935489.0,,,0.0,0,0,269563,205790
05,21,20201001,,,,,225262538.1,0,0,1401527,1206926
07,05,20201001,,0.0,159790665.94,,41062.090000000004,0,0,88391,75175
07,09,20200901,,553774211.1,10544122099.645988,33013481.85000001,482221.66999999987,0,0,10287714,3636544
07,21,20200401,,4600.0,28154791939.325275,1112305388793.1873,865055344.1500005,0,0,175142314,59361392
,01,20190501,,,,,0.0,0,0,24165359,20320007
,01,20200701,,,,,0.0,0,0,11941954,9307087
,06,20200701,,,,,0.0,0,0,89792,48503
,07,20200901,,,,,0.0,0,0,10179656,5474269
,16,20191101,,,,,0.0,0,0,10934840,6524203
,18,20200601,,,,,0.0,0,0,20636786,8275492
01,,20190501,,,,,0.0,0,0,8668153,6210358
01,,20200701,,,,,0.0,0,0,11266041,8060005
06,,20200701,489918326687.4455,,,,118916392215.0612,0,0,55179863,26276542
07,,20200901,,5819180908.910001,2014332150387.7585,0.0,264986861486.8383,0,0,239853090,75914014
03,23,20190901,,,,,0.0,5,0,5,5
06,99,20190501,1635989630.7332995,,,,805167276.11,0,0,280310,83671
04,99,20190801,,9266655427.019999,,,0.0,0,0,1066748,514860
01,07,20201001,,,,,0.0,0,0,4631,4280
02,21,20200701,,,,,0.0,0,0,864041,695494
02,22,20190701,,,,,0.0,0,0,1082673,934838
02,26,20190701,,,,,0.0,0,0,897,513
03,05,20200501,,,,,0.0,212188,1244660,1456848,571469
04,16,20190401,,239745284.2,,,24.95,0,0,155708,112967
04,2,20190401,,4571437895.440001,,,127785410.61999997,0,0,41631,10628
05,02,20200201,,,,,22634.04999999999,0,0,28881327,18569751
05,25,20190501,,,,,0.0,0,0,1129,1119
06,26,20190501,68078203.83999996,,,,2738030134071.0,0,0,20052,13765
