var,date_start,date_end,psi,taub
donr_wwwlnc_om4,2019-03-01,2019-04-01,0.0,
donr_wwwlnc_om3,2019-03-01,2019-04-01,0.0,
donr_wwwlnc_om2,2019-03-01,2019-04-01,0.0,
donr_wwwlnc_om1,2019-03-01,2019-04-01,0.0,
donr_wwwcfc_om5,2019-03-01,2019-04-01,0.0,
donr_wwwccb_om1,2019-03-01,2019-04-01,0.0,
cc1r_wwwwww_m6,2019-03-01,2019-04-01,0.0,
cc1r_wwwwww_m3,2019-03-01,2019-04-01,0.0,
cc1r_wwwpfc_m6,2019-03-01,2019-04-01,0.0,
cc1r_wwwpfc_m3,2019-03-01,2019-04-01,0.0,
cc1r_wwwpfc_m1,2019-03-01,2019-04-01,0.0,
cc1r_wwwpdl_m6,2019-03-01,2019-04-01,0.0,
cc1r_wwwpdl_m3,2019-03-01,2019-04-01,0.0,
cc1r_wwwpdl_m1,2019-03-01,2019-04-01,0.0,
cc1r_wwwofc_m6,2019-03-01,2019-04-01,0.0,
cc1r_wwwofc_m3,2019-03-01,2019-04-01,0.0,
cc1r_wwwofc_m1,2019-03-01,2019-04-01,0.0,
cc1r_wwwmlc_m6,2019-03-01,2019-04-01,0.0,
cc1r_wwwmlc_m3,2019-03-01,2019-04-01,0.0,
cc1r_wwwmlc_m1,2019-03-01,2019-04-01,0.0,
cc1r_wwwlnc_m6,2019-03-01,2019-04-01,0.0,
cc1r_wwwlnc_m3,2019-03-01,2019-04-01,0.0,
cc1r_wwwlnc_m1,2019-03-01,2019-04-01,0.0,
cc1r_wwwlbk_m6,2019-03-01,2019-04-01,0.0,
cc1r_wwwlbk_m3,2019-03-01,2019-04-01,0.0,
cc1r_wwwlbk_m1,2019-03-01,2019-04-01,0.0,
cc1r_wwwcfc_m6,2019-03-01,2019-04-01,0.0,
cc1r_wwwcfc_m3,2019-03-01,2019-04-01,0.0,
cc1r_wwwccb_m6,2019-03-01,2019-04-01,0.0,
cc1r_wwwccb_m3,2019-03-01,2019-04-01,0.0,
cc1r_wwwccb_m1,2019-03-01,2019-04-01,0.0,
soao_wwwwwwwwwww_m6,2019-03-01,2019-04-01,0.0,
soao_wwwwwwwwwww_m3,2019-03-01,2019-04-01,0.0,
soao_wwwwwwwwwww_m1,2019-03-01,2019-04-01,0.0,
modo_wwwwwwwwwww_m6,2019-03-01,2019-04-01,0.0,
modo_wwwwwwwwwww_m3,2019-03-01,2019-04-01,0.0,
modo_wwwwwwwwwww_m1,2019-03-01,2019-04-01,0.0,
moao_wwwwwwwwwww_m6,2019-03-01,2019-04-01,0.0,
moao_wwwwwwwwwww_m3,2019-03-01,2019-04-01,0.0,
moao_wwwwwwwwwww_m1,2019-03-01,2019-04-01,0.0,
dono_wwwwwwwwwww_om6,2019-03-01,2019-04-01,0.0,
dono_wwwwwwwwwww_om5,2019-03-01,2019-04-01,0.0,
dono_wwwwwwwwwww_om4,2019-03-01,2019-04-01,0.0,
dono_wwwwwwwwwww_om3,2019-03-01,2019-04-01,0.0,
dono_wwwwwwwwwww_om2,2019-03-01,2019-04-01,0.0,
dono_wwwwwwwwwww_om1,2019-03-01,2019-04-01,0.0,
dono_wwwwwwwwoa4_om6,2019-03-01,2019-04-01,0.0,
dono_wwwwwwwwoa4_om5,2019-03-01,2019-04-01,0.0,
dono_wwwwwwwwoa4_om4,2019-03-01,2019-04-01,0.0,
dono_wwwwwwwwoa4_om3,2019-03-01,2019-04-01,0.0,
dono_wwwwwwwwoa4_om2,2019-03-01,2019-04-01,0.0,
dono_wwwwwwwwoa4_om1,2019-03-01,2019-04-01,0.0,
dono_wwwwwwwwoa3_om6,2019-03-01,2019-04-01,0.0,
dono_wwwwwwwwoa3_om5,2019-03-01,2019-04-01,0.0,
dono_wwwwwwwwoa3_om4,2019-03-01,2019-04-01,0.0,
dono_wwwwwwwwoa3_om3,2019-03-01,2019-04-01,0.0,
dono_wwwwwwwwoa3_om2,2019-03-01,2019-04-01,0.0,
dono_wwwwwwwwoa3_om1,2019-03-01,2019-04-01,0.0,
dono_wwwwwwwwoa2_om6,2019-03-01,2019-04-01,0.0,
dono_wwwwwwwwoa2_om5,2019-03-01,2019-04-01,0.0,
dono_wwwwwwwwoa2_om4,2019-03-01,2019-04-01,0.0,
dono_wwwwwwwwoa2_om3,2019-03-01,2019-04-01,0.0,
dono_wwwwwwwwoa2_om2,2019-03-01,2019-04-01,0.0,
dono_wwwwwwwwoa2_om1,2019-03-01,2019-04-01,0.0,
dono_wwwwwwwwoa1_om6,2019-03-01,2019-04-01,0.0,
dono_wwwwwwwwoa1_om5,2019-03-01,2019-04-01,0.0,
dono_wwwwwwwwoa1_om4,2019-03-01,2019-04-01,0.0,
dono_wwwwwwwwoa1_om3,2019-03-01,2019-04-01,0.0,
