var,date_start,date_end,psi,taub
credit_card__20_amount_sum_3m,2019-03-01,2019-04-01,inf,
credit_card__20_amount_sum_1m,2019-03-01,2019-04-01,inf,
credit_card__20_amount_min_6m,2019-03-01,2019-04-01,inf,
credit_card__20_amount_min_3m,2019-03-01,2019-04-01,inf,
credit_card__20_amount_min_1m,2019-03-01,2019-04-01,inf,
credit_card__20_amount_max_6m,2019-03-01,2019-04-01,inf,
credit_card__20_amount_max_3m,2019-03-01,2019-04-01,inf,
credit_card__20_amount_max_1m,2019-03-01,2019-04-01,inf,
credit_card__20_amount_cnt_6m,2019-03-01,2019-04-01,0.0,
credit_card__20_amount_cnt_3m,2019-03-01,2019-04-01,0.0,
credit_card__20_amount_cnt_1m,2019-03-01,2019-04-01,inf,
credit_card__1_cnt_6m,2019-03-01,2019-04-01,0.0,
credit_card__1_cnt_3m,2019-03-01,2019-04-01,0.0,
credit_card__1_cnt_1m,2019-03-01,2019-04-01,inf,
chat__7_cnt_3m,2019-03-01,2019-04-01,inf,
chat__7_cnt_1m,2019-03-01,2019-04-01,inf,
chat__7_amount_sum_3m,2019-03-01,2019-04-01,inf,
chat__7_amount_sum_1m,2019-03-01,2019-04-01,inf,
chat__7_amount_cnt_3m,2019-03-01,2019-04-01,inf,
chat__7_amount_cnt_1m,2019-03-01,2019-04-01,inf,
chat__6_cnt_3m,2019-03-01,2019-04-01,inf,
chat__6_cnt_1m,2019-03-01,2019-04-01,inf,
chat__6_amount_sum_3m,2019-03-01,2019-04-01,0.0,
chat__6_amount_sum_1m,2019-03-01,2019-04-01,0.0,
chat__6_amount_cnt_3m,2019-03-01,2019-04-01,inf,
chat__6_amount_cnt_1m,2019-03-01,2019-04-01,inf,
chat__1_cnt_3m,2019-03-01,2019-04-01,inf,
chat__1_cnt_1m,2019-03-01,2019-04-01,inf,
car__502_cnt_6m,2019-03-01,2019-04-01,inf,
car__502_cnt_1m,2019-03-01,2019-04-01,inf,
car__502_amount_sum_6m,2019-03-01,2019-04-01,0.0,
car__502_amount_sum_1m,2019-03-01,2019-04-01,inf,
car__502_amount_cnt_6m,2019-03-01,2019-04-01,inf,
car__502_amount_cnt_1m,2019-03-01,2019-04-01,inf,
car__501_cnt_6m,2019-03-01,2019-04-01,0.0,
car__501_cnt_1m,2019-03-01,2019-04-01,inf,
car__501_amount_sum_6m,2019-03-01,2019-04-01,inf,
car__501_amount_sum_1m,2019-03-01,2019-04-01,inf,
car__501_amount_cnt_6m,2019-03-01,2019-04-01,0.0,
car__501_amount_cnt_1m,2019-03-01,2019-04-01,inf,
car__1_cnt_6m,2019-03-01,2019-04-01,0.0,
car__1_cnt_1m,2019-03-01,2019-04-01,inf,
car__12_cnt_6m,2019-03-01,2019-04-01,inf,
car__12_cnt_1m,2019-03-01,2019-04-01,inf,
car__11_cnt_6m,2019-03-01,2019-04-01,inf,
car__11_cnt_1m,2019-03-01,2019-04-01,inf,
business_insurance__33_cnt_1m,2019-03-01,2019-04-01,inf,
business_insurance__32_cnt_1m,2019-03-01,2019-04-01,inf,
business_insurance__32_amount_sum_1m,2019-03-01,2019-04-01,0.0,
business_insurance__32_amount_cnt_1m,2019-03-01,2019-04-01,inf,
business_insurance__31_cnt_1m,2019-03-01,2019-04-01,inf,
business_insurance__31_amount_sum_1m,2019-03-01,2019-04-01,inf,
business_insurance__31_amount_cnt_1m,2019-03-01,2019-04-01,inf,
business_insurance__1_cnt_1m,2019-03-01,2019-04-01,inf,
bank_budget__24_cnt_6m,2019-03-01,2019-04-01,inf,
bank_budget__24_cnt_3m,2019-03-01,2019-04-01,inf,
bank_budget__24_cnt_1m,2019-03-01,2019-04-01,inf,
bank_budget__24_amount_sum_6m,2019-03-01,2019-04-01,0.0,
bank_budget__24_amount_sum_3m,2019-03-01,2019-04-01,0.0,
bank_budget__24_amount_sum_1m,2019-03-01,2019-04-01,0.0,
bank_budget__24_amount_min_6m,2019-03-01,2019-04-01,0.0,
bank_budget__24_amount_min_3m,2019-03-01,2019-04-01,0.0,
bank_budget__24_amount_min_1m,2019-03-01,2019-04-01,0.0,
bank_budget__24_amount_max_6m,2019-03-01,2019-04-01,0.0,
bank_budget__24_amount_max_3m,2019-03-01,2019-04-01,0.0,
bank_budget__24_amount_max_1m,2019-03-01,2019-04-01,0.0,
bank_budget__24_amount_cnt_6m,2019-03-01,2019-04-01,inf,
bank_budget__24_amount_cnt_3m,2019-03-01,2019-04-01,inf,
