num,unique_num,loan_properties,table_name,dt
890136,852728,2,gdl_jrs_msg_parse,2019-04-03
17520570,14643030,0,gdl_jrs_msg_parse,2019-04-03
176209,167395,1,gdl_jrs_msg_parse,2019-04-04
2527726,2027325,3,gdl_jrs_msg_parse,2019-04-04
11739334,10332080,4,gdl_jrs_msg_parse,2019-04-04
1422183,1224150,2,gdl_jrs_msg_parse,2019-04-04
42141473,31911348,0,gdl_jrs_msg_parse,2019-04-04
35415,33164,1,gdl_jrs_msg_parse,2019-04-06
3076726,2577104,3,gdl_jrs_msg_parse,2019-04-06
10562179,9485670,4,gdl_jrs_msg_parse,2019-04-06
609572,504381,2,gdl_jrs_msg_parse,2019-04-06
24412140,18563907,0,gdl_jrs_msg_parse,2019-04-06
34739,32911,1,gdl_jrs_msg_parse,2019-04-07
2347192,1911071,3,gdl_jrs_msg_parse,2019-04-07
9275469,8235700,4,gdl_jrs_msg_parse,2019-04-07
624373,531312,2,gdl_jrs_msg_parse,2019-04-07
22136992,16680422,0,gdl_jrs_msg_parse,2019-04-07
100199,92517,1,gdl_jrs_msg_parse,2019-04-08
3275100,2496047,3,gdl_jrs_msg_parse,2019-04-08
18434865,16099843,4,gdl_jrs_msg_parse,2019-04-08
1148811,916470,2,gdl_jrs_msg_parse,2019-04-08
40797476,30448498,0,gdl_jrs_msg_parse,2019-04-08
140474,133809,1,gdl_jrs_msg_parse,2019-04-09
2703321,2142418,3,gdl_jrs_msg_parse,2019-04-09
19585959,17400798,4,gdl_jrs_msg_parse,2019-04-09
1430480,1233671,2,gdl_jrs_msg_parse,2019-04-09
38925374,28872983,0,gdl_jrs_msg_parse,2019-04-09
194378,183277,1,gdl_jrs_msg_parse,2019-04-10
4811652,3847863,3,gdl_jrs_msg_parse,2019-04-10
39196974,34802736,4,gdl_jrs_msg_parse,2019-04-10
2622809,2147356,2,gdl_jrs_msg_parse,2019-04-10
52453667,37217590,0,gdl_jrs_msg_parse,2019-04-10
294281,279461,1,gdl_jrs_msg_parse,2019-04-11
4256845,3364080,3,gdl_jrs_msg_parse,2019-04-11
32492552,28296826,4,gdl_jrs_msg_parse,2019-04-11
2056685,1591790,2,gdl_jrs_msg_parse,2019-04-11
55285953,38414398,0,gdl_jrs_msg_parse,2019-04-11
158647,145877,1,gdl_jrs_msg_parse,2019-04-12
4224008,3271323,3,gdl_jrs_msg_parse,2019-04-12
27987169,23786698,4,gdl_jrs_msg_parse,2019-04-12
2348181,1926239,2,gdl_jrs_msg_parse,2019-04-12
63501662,46429949,0,gdl_jrs_msg_parse,2019-04-12
128689,113509,1,gdl_jrs_msg_parse,2019-04-13
3959290,3089728,3,gdl_jrs_msg_parse,2019-04-13
25009939,22099328,4,gdl_jrs_msg_parse,2019-04-13
1397955,1079430,2,gdl_jrs_msg_parse,2019-04-13
47291637,34511714,0,gdl_jrs_msg_parse,2019-04-13
60489,56100,1,gdl_jrs_msg_parse,2019-04-14
3411466,2598046,3,gdl_jrs_msg_parse,2019-04-14
21544754,18465393,4,gdl_jrs_msg_parse,2019-04-14
1524160,1210495,2,gdl_jrs_msg_parse,2019-04-14
41604615,30575819,0,gdl_jrs_msg_parse,2019-04-14
349874,330124,1,gdl_jrs_msg_parse,2019-04-15
4672298,3489867,3,gdl_jrs_msg_parse,2019-04-15
29678563,25729974,4,gdl_jrs_msg_parse,2019-04-15
3007920,2333734,2,gdl_jrs_msg_parse,2019-04-15
52129036,37468139,0,gdl_jrs_msg_parse,2019-04-15
